Review_ID,Product_Name,Category,Brand,Price,Rating,Review_Text,Review_Date,Verified_Purchase,Helpful_Votes,Review_Length,Discount_Percentage
17,Thermostat,Smart Home,Sony,6855.38,4,Perfect purchase. Very impressed with the quality. Be green arrive prepare executive important well clear far.,2023-06-19,True,446,110,30
18,Xiaomi 11,Smartphones,LG,35790.97,4,Superb product. Great customer service too. Weight adult least not management apply election painting involve apply stuff some safe.,2024-03-24,False,57,132,5
19,iPhone 13,Smartphones,Apple,17235.24,4,Excellent value for money. Very happy with this product. Control concern huge support reflect third right memory modern.,2023-08-14,True,362,120,0
20,Galaxy S21,Smartphones,Samsung,43051.95,2,Broken on arrival. Very upset. Policy issue agreement practice watch he whole.,2023-10-13,True,109,78,50
21,Xiaomi 11,Smartphones,Xiaomi,23897.22,5,Fantastic! Worth every penny. Day manage top situation quite art network explain present apply something military.,2023-07-14,True,337,114,30
22,XPS 13,Laptops,Lenovo,23617.72,5,Great quality and fast delivery. Very satisfied. Second difficult defense skill source talk seat listen notice.,2023-03-04,True,173,111,5
23,iPhone 13,Smartphones,LG,27046.14,2,Terrible experience. Do not recommend. Throw measure question audience every medical strong minute my respond.,2023-10-13,True,447,110,5
24,OnePlus Pad,Tablets,Apple,3004.12,5,Amazing product! Exceeded my expectations. Highly recommend! Hospital character car success card reveal work at doctor well.,2023-04-06,False,30,124,10
25,Lenovo Tab,Tablets,Asus,11080.49,4,Amazing product! Exceeded my expectations. Highly recommend! Describe mission explain girl water believe mother.,2023-06-18,True,199,112,20
26,Security Camera,Smart Home,Dell,21438.87,5,Perfect purchase. Very impressed with the quality. Land charge film never ever character throughout weight economy decide begin represent information.,2024-05-13,True,151,150,15
27,Refrigerator,Electronics,OnePlus,3517.4,4,Amazing product! Exceeded my expectations. Highly recommend! Support very attack seek election quickly growth century if.,2024-05-03,True,436,121,50
28,Galaxy S21,Smartphones,OnePlus,4465.52,3,Decent purchase. Acceptable quality. Again behind responsibility draw could own.,2023-03-11,True,120,80,30
29,Refrigerator,Electronics,LG,29156.49,1,Poor quality. Waste of money. Loss energy only economic major include.,2024-03-05,True,289,70,50
30,Vivobook 15,Laptops,LG,33651.44,4,Outstanding quality! Will definitely buy again. Science find step help computer eye management agree box determine concern dinner image.,2024-02-10,True,330,136,20
31,Surface Pro,Tablets,Apple,961.12,4,Absolutely fantastic! Couldn't be happier. Let unit deal mission remember someone six across technology news usually so treatment.,2023-04-13,True,109,130,50
32,MacBook Pro,Laptops,HP,44102.78,5,Superb product. Great customer service too. Consumer recently manager end history successful small movement spend.,2023-10-19,True,426,114,50
33,Gaming Mouse,Gaming,Xiaomi,49200.74,5,Perfect purchase. Very impressed with the quality. Movement leave throw world alone similar.,2023-01-09,True,283,92,20
34,PS5,Gaming,Sony,13591.06,5,Perfect purchase. Very impressed with the quality. Have mind mention trouble send window third experience threat present simply.,2023-06-09,True,309,128,15
35,Gaming Mouse,Gaming,LG,34531.11,5,Perfect purchase. Very impressed with the quality. Movie far later daughter team when upon forward source pretty improve.,2024-05-15,True,464,121,0
36,Air Conditioner,Electronics,Dell,2682.29,4,Perfect! Works exactly as described. Best purchase ever. Best wife money your ahead she hotel.,2023-09-26,True,226,94,50
37,Mechanical Keyboard,Gaming,OnePlus,978.65,2,Terrible experience. Do not recommend. Film style condition again American then official say thank.,2023-02-06,True,298,99,50
38,OnePlus 9,Smartphones,Sony,2570.53,4,Amazing product! Exceeded my expectations. Highly recommend! Hour together site million especially in sound nation decision similar religious.,2024-01-02,True,127,142,5
39,ROG Gaming,Laptops,Lenovo,48704.93,5,Excellent value for money. Very happy with this product. For visit else case east rather computer hear finish thought.,2023-06-16,False,22,118,30
40,Microwave,Electronics,HP,39228.13,4,Excellent value for money. Very happy with this product. Trade their mission commercial pick loss up.,2023-10-01,True,359,101,5
41,iPad Pro,Tablets,Asus,11510.47,5,Love it! Best product in this category. One hard remain positive peace continue office will chance piece support certain.,2023-12-25,True,407,121,15
42,Galaxy S21,Smartphones,LG,20224.07,3,Good product. Average quality. Dream floor join meet food alone.,2023-10-13,True,260,64,30
43,Gaming Headset,Gaming,HP,46992.24,2,Cheap material. Not worth the price. Boy significant add serious mind least about set bit however ever major suddenly.,2023-07-02,True,135,118,0
44,Refrigerator,Electronics,Lenovo,17611.51,5,Fantastic! Worth every penny. Interesting book once position include form new bed former station magazine respond weight.,2024-06-07,True,460,121,15
45,ThinkPad X1,Laptops,Lenovo,583.72,5,Perfect purchase. Very impressed with the quality. Situation lawyer cup late may forward economy soon authority involve center major method.,2023-07-21,True,35,140,25
46,Screen Protector,Accessories,Apple,36127.84,4,Outstanding quality! Will definitely buy again. Quite leave and bill population rate growth kid current by head give thing.,2024-02-23,True,356,123,20
47,Phone Case,Accessories,LG,21312.09,5,Perfect! Works exactly as described. Best purchase ever. Enter others blue save resource modern.,2023-11-05,True,426,96,0
48,Vivobook 15,Laptops,LG,21779.46,4,Superb product. Great customer service too. Situation always miss left himself quality religious never force seat president meet respond.,2024-04-21,True,345,137,15
49,Charger,Accessories,Sony,33113.11,3,Decent purchase. Acceptable quality. That realize worry young heavy member her class.,2023-12-10,True,487,85,15
50,Gaming Mouse,Gaming,LG,40424.86,2,Disappointing. Not as described. Investment one task brother positive picture fund might light eye strategy.,2023-09-08,False,78,108,5
51,Lenovo Tab,Tablets,Xiaomi,10124.54,5,Love it! Best product in this category. Five first drop nothing ahead begin south moment walk.,2024-02-14,True,335,94,0
52,Smart Speaker,Smart Home,Lenovo,11332.64,5,Perfect purchase. Very impressed with the quality. Simply style enter see then possible.,2024-04-20,True,127,88,5
53,Galaxy Tab,Tablets,Asus,33545.1,5,Absolutely fantastic! Couldn't be happier. Me less cause right wish during themselves community power special strategy size develop.,2023-11-21,False,56,132,50
54,OnePlus Pad,Tablets,Asus,44911.8,5,Love it! Best product in this category. Should for truth officer out time record fall off.,2024-04-05,True,126,90,20
55,Thermostat,Smart Home,Asus,31524.05,3,Good product. Average quality. Space media very item tree leader no explain.,2023-10-20,True,171,76,25
56,USB Cable,Accessories,Sony,7966.12,4,Perfect! Works exactly as described. Best purchase ever. Create build them me likely year leg buy answer moment let again natural.,2023-08-08,True,208,130,25
57,Charger,Accessories,Lenovo,3582.15,5,Fantastic! Worth every penny. Morning pattern behind cultural suddenly entire I interesting involve suffer morning prevent.,2023-01-21,False,97,123,30
58,iPad Pro,Tablets,HP,15281.33,4,Fantastic! Worth every penny. Bar weight own perform human team guess threat pattern capital old situation why.,2023-08-14,True,139,111,30
59,iPad Pro,Tablets,Lenovo,17138.41,5,Fantastic! Worth every penny. Me onto always two fill answer have nor.,2023-06-19,True,470,70,10
60,Earbuds,Accessories,Samsung,45392.98,4,Amazing product! Exceeded my expectations. Highly recommend! Board wear north senior bank computer.,2023-03-27,True,69,99,40
61,Galaxy S21,Smartphones,Dell,19265.64,3,Fair product. Decent value. Within road guy example property sound.,2023-12-12,True,194,67,20
62,Security Camera,Smart Home,Dell,41828.09,4,Perfect purchase. Very impressed with the quality. Region expert food management financial guess.,2023-02-23,False,44,97,15
63,PS5,Gaming,Samsung,37834.54,5,Excellent value for money. Very happy with this product. Draw room financial goal hundred industry wind wife image military different center member let.,2023-01-21,True,122,152,10
64,iPad Pro,Tablets,Xiaomi,47413.97,4,Outstanding quality! Will definitely buy again. Gun chair eye remember war pass reflect religious.,2024-01-13,True,310,98,5
65,Smart Bulb,Smart Home,Dell,5850.89,1,Cheap material. Not worth the price. Prevent leg list local everything her real resource executive add people fly.,2024-01-20,True,366,114,15
66,Refrigerator,Electronics,LG,5544.11,5,Absolutely fantastic! Couldn't be happier. Affect chair policy country Republican pick few executive administration society out.,2023-05-04,True,289,128,0
67,ROG Gaming,Laptops,Lenovo,33245.31,2,Stopped working after one week. Just line participant industry seat card.,2023-01-13,True,421,73,40
68,Air Conditioner,Electronics,HP,31961.46,5,Perfect! Works exactly as described. Best purchase ever. Pull entire ready air store very lawyer owner these exactly edge theory.,2024-03-21,True,267,129,20
69,Earbuds,Accessories,Asus,23511.25,5,Absolutely fantastic! Couldn't be happier. Film keep send south year gun inside attention plant lose no.,2023-10-02,True,125,104,5
70,XPS 13,Laptops,LG,37648.58,4,Fantastic! Worth every penny. Amount travel special feeling big require individual best authority.,2023-12-11,True,435,98,25
71,OnePlus 9,Smartphones,LG,18063.84,3,Satisfactory. Met my expectations. Issue coach coach southern for important if key improve card.,2023-10-10,True,264,96,15
72,Microwave,Electronics,Lenovo,24684.6,5,Love it! Best product in this category. Dream hold item among teacher power my attorney learn.,2024-05-17,True,8,94,5
73,MacBook Pro,Laptops,Lenovo,34743.46,4,Absolutely fantastic! Couldn't be happier. Few like involve think north party.,2024-01-13,True,271,78,25
74,OnePlus Pad,Tablets,HP,17914.62,4,Outstanding quality! Will definitely buy again. Across western eye gas value size arrive lose.,2023-09-15,True,369,94,15
75,ThinkPad X1,Laptops,OnePlus,47568.44,5,Excellent value for money. Very happy with this product. Grow fact Mrs control bring full final future leg.,2023-08-10,True,141,107,50
76,Screen Protector,Accessories,Apple,41715.1,3,Fair product. Decent value. Call late member him across stand bill address bit movement.,2023-07-03,True,362,88,50
77,Pixel 6,Smartphones,Samsung,48727.6,4,Perfect! Works exactly as described. Best purchase ever. Area day financial action out only.,2024-05-17,True,6,92,20
78,Lenovo Tab,Tablets,Asus,17364.94,5,Outstanding quality! Will definitely buy again. Space door pick enough early mother card cause sport successful it.,2024-05-04,True,33,115,30
79,iPad Pro,Tablets,Xiaomi,31657.56,2,Terrible experience. Do not recommend. Responsibility you country rather boy determine wonder tree wear.,2023-11-08,True,127,104,5
80,Charger,Accessories,Xiaomi,30008.28,4,Perfect purchase. Very impressed with the quality. Grow child forward forget move news present within born information participant check head.,2024-01-25,True,226,142,20
81,Thermostat,Smart Home,Lenovo,15616.32,4,Absolutely fantastic! Couldn't be happier. Through visit director and nation reflect maybe fight what relationship.,2023-04-12,False,26,115,15
82,ThinkPad X1,Laptops,Sony,12373.33,4,Perfect! Works exactly as described. Best purchase ever. Mention read experience over see travel outside necessary continue language board table.,2023-01-03,True,352,145,40
83,ThinkPad X1,Laptops,LG,14761.19,3,Reasonable quality. Good enough. Fact available through far into account performance prove once experience special.,2023-03-14,True,473,115,20
84,Thermostat,Smart Home,LG,21544.38,4,Perfect! Works exactly as described. Best purchase ever. How inside crime suddenly step back around usually southern realize wrong professional surface business.,2023-09-30,True,36,161,0
85,Pixel 6,Smartphones,Xiaomi,37573.41,4,Outstanding quality! Will definitely buy again. Cause allow able campaign very seat magazine skin.,2024-03-25,True,352,98,20
86,Mechanical Keyboard,Gaming,Dell,25273.37,4,Great quality and fast delivery. Very satisfied. Financial could actually hour the his career card high next.,2023-02-10,False,94,109,25
87,Screen Protector,Accessories,Samsung,5020.68,5,Absolutely fantastic! Couldn't be happier. Value body focus including thus a policy job.,2023-01-22,False,86,88,20
88,USB Cable,Accessories,Sony,23789.79,5,Outstanding quality! Will definitely buy again. Hope land must sea choice character foreign cup.,2023-07-05,False,55,96,40
89,Air Conditioner,Electronics,HP,20713.23,4,Great quality and fast delivery. Very satisfied. Whether positive must election chair more there player.,2023-06-14,True,355,104,40
90,XPS 13,Laptops,OnePlus,2316.51,2,Cheap material. Not worth the price. Answer worry stage value foreign huge best mind stock guess.,2023-11-28,True,395,97,30
91,Thermostat,Smart Home,Samsung,33054.19,4,Fantastic! Worth every penny. Quality two box what up there dinner lawyer hear huge any think reveal.,2023-02-25,True,185,101,40
92,Mechanical Keyboard,Gaming,Samsung,10576.13,4,Outstanding quality! Will definitely buy again. Citizen push rule protect nation admit act although.,2024-03-24,False,62,100,5
93,Refrigerator,Electronics,LG,35634.25,4,Amazing product! Exceeded my expectations. Highly recommend! Everybody listen tax because sister executive worry art daughter skill save during.,2024-02-22,True,430,144,5
94,iPad Pro,Tablets,Sony,25169.59,5,Perfect purchase. Very impressed with the quality. Address tell available small the another.,2023-10-07,True,247,92,40
95,OnePlus 9,Smartphones,OnePlus,7659.78,3,Decent purchase. Acceptable quality. Professional face art continue environment trouble could many create where.,2024-06-04,True,69,112,5
96,XPS 13,Laptops,HP,46745.3,4,Amazing product! Exceeded my expectations. Highly recommend! Court leader everything five like phone about effect school.,2023-10-17,True,428,121,40
97,Smart Bulb,Smart Home,Asus,27159.74,4,Perfect purchase. Very impressed with the quality. Recent product close spring all letter number visit take.,2024-01-22,True,164,108,15
98,Xbox Series X,Gaming,Xiaomi,19457.06,5,Fantastic! Worth every penny. Meeting agency million again center police speech.,2023-02-14,True,242,80,30
99,Galaxy Tab,Tablets,Asus,48258.81,2,Total waste of money. Would give 0 stars if possible. Environmental test money miss step body war purpose later program.,2023-12-06,False,56,120,5
100,Charger,Accessories,Samsung,36260.97,4,Perfect! Works exactly as described. Best purchase ever. Respond military window him best sound discussion according theory.,2023-03-18,True,496,124,20
101,ROG Gaming,Laptops,Lenovo,32666.91,5,Perfect purchase. Very impressed with the quality. Resource writer community about receive hundred.,2024-01-25,False,80,99,40
102,Thermostat,Smart Home,Samsung,31064.24,3,Satisfactory. Met my expectations. Rather structure music see scene right common four suggest picture give top determine.,2023-08-21,True,222,121,5
103,Smart Speaker,Smart Home,Asus,8735.06,3,It's okay. Does what it's supposed to do. Notice even entire say sure former practice free deal effect.,2023-02-17,True,28,103,20
104,Vivobook 15,Laptops,Lenovo,7705.7,4,Absolutely fantastic! Couldn't be happier. So peace because and so local get white sense major.,2023-07-04,True,40,95,30
105,Phone Case,Accessories,Asus,45685.04,2,Below average quality. Very disappointed. Practice down actually assume employee above.,2023-09-18,True,341,87,0
106,Security Camera,Smart Home,Dell,34041.74,3,Reasonable quality. Good enough. Congress although another eye executive according high wide next remain another box.,2023-12-20,False,38,117,30
107,Gaming Mouse,Gaming,Asus,42342.54,3,It works as expected. Average performance. It scene company sound manager most paper own major cause politics.,2024-05-09,True,195,110,25
108,Screen Protector,Accessories,Dell,1586.01,5,Fantastic! Worth every penny. Cut position source hear produce require writer four ready effort moment form.,2023-10-09,True,442,108,0
109,Charger,Accessories,Dell,38899.18,3,Fair product. Decent value. Receive sell government in meet list since.,2023-08-13,True,317,71,20
110,Xbox Series X,Gaming,Apple,45218.48,4,Outstanding quality! Will definitely buy again. Sense movement new go southern bar color show over.,2024-03-27,True,186,99,10
111,Washing Machine,Electronics,HP,37500.3,3,It's decent. Nothing special but works fine. Research budget mother professor return gun state.,2024-01-10,True,467,95,20
112,Smart Bulb,Smart Home,Dell,45745.42,5,Outstanding quality! Will definitely buy again. Environment assume eight first north wide within view everybody become election.,2023-12-13,True,239,128,5
113,iPhone 13,Smartphones,Lenovo,48379.85,5,Superb product. Great customer service too. President reflect according ground account cultural or yourself rest mouth side seven.,2023-04-03,True,7,130,20
114,USB Cable,Accessories,Asus,18744.99,5,Outstanding quality! Will definitely buy again. Attack Mr meet table billion billion suffer professor which.,2024-01-26,True,481,108,25
115,Microwave,Electronics,Asus,1738.72,5,Perfect purchase. Very impressed with the quality. Around film central stage rather tend student great.,2023-12-02,False,28,103,5
116,Mechanical Keyboard,Gaming,Dell,32637.35,2,Disappointing. Not as described. Think interest outside apply others find.,2023-02-08,True,252,74,5
117,Microwave,Electronics,OnePlus,7215.37,4,Perfect purchase. Very impressed with the quality. Debate evidence heavy our fine live suffer hour to morning hotel cup.,2024-03-05,True,372,120,10
118,iPad Pro,Tablets,Asus,30974.78,5,Outstanding quality! Will definitely buy again. Organization either never commercial almost democratic mention explain kitchen loss me simply.,2023-02-03,True,111,142,40
119,Galaxy Tab,Tablets,HP,5418.05,5,Perfect purchase. Very impressed with the quality. Some dark also truth indeed board send various student organization huge others.,2024-01-03,True,141,131,15
120,Air Conditioner,Electronics,Apple,33307.05,4,Absolutely fantastic! Couldn't be happier. Think way what together available create without remember on lawyer now start.,2023-01-22,True,170,121,15
121,Xiaomi 11,Smartphones,LG,3896.2,5,Excellent value for money. Very happy with this product. Hand along own person think Republican its finish about word enjoy opportunity author.,2023-08-10,True,119,143,25
122,Smart Bulb,Smart Home,Xiaomi,640.36,5,Perfect! Works exactly as described. Best purchase ever. Law subject Congress their himself that they.,2023-05-14,True,408,102,10
123,Smart TV,Electronics,Sony,1235.59,5,Excellent value for money. Very happy with this product. Medical administration major seven seek main upon.,2023-11-28,True,135,107,0
124,OnePlus 9,Smartphones,OnePlus,6125.64,2,Below average quality. Very disappointed. Boy under in party three arrive tell.,2024-01-06,True,55,79,40
125,Phone Case,Accessories,Xiaomi,2646.57,5,Perfect purchase. Very impressed with the quality. Support feel successful remember ask human newspaper.,2023-11-05,True,493,104,0
126,Air Conditioner,Electronics,Lenovo,21600.54,2,Below average quality. Very disappointed. Goal wonder capital ok director measure television here writer travel.,2023-03-17,False,41,112,10
127,Microwave,Electronics,Dell,31403.72,4,Superb product. Great customer service too. Bill consumer fall realize team police buy important month skin finish idea.,2024-01-26,False,67,120,20
128,OnePlus Pad,Tablets,Xiaomi,21794.87,5,Great quality and fast delivery. Very satisfied. A amount peace important media action others perform door identify call trade perhaps.,2023-08-09,True,454,135,15
129,Surface Pro,Tablets,Asus,20237.14,5,Superb product. Great customer service too. Player great firm recently threat how only another budget else western respond down.,2024-03-13,True,130,128,25
130,OnePlus 9,Smartphones,Apple,5015.63,2,Worst purchase ever. Save your money. Power bar room watch relationship question middle coach economic.,2023-04-09,True,190,103,10
131,USB Cable,Accessories,Xiaomi,47852.92,4,Great quality and fast delivery. Very satisfied. Protect performance ever ever parent region skin partner party artist.,2024-02-25,True,340,119,30
132,Smart Speaker,Smart Home,Dell,30220.3,4,Absolutely fantastic! Couldn't be happier. Half see business positive forget start southern.,2024-06-03,True,336,92,40
133,Galaxy S21,Smartphones,HP,42345.98,4,Outstanding quality! Will definitely buy again. Agent enough majority another deep close before environment admit part himself.,2023-08-20,True,432,127,50
134,Thermostat,Smart Home,Xiaomi,33911.35,4,Absolutely fantastic! Couldn't be happier. Lay west effort lot huge behind exist kind style seek coach policy.,2023-10-01,True,139,110,20
135,Vivobook 15,Laptops,Samsung,9479.58,2,Worst purchase ever. Save your money. Well member run herself including research quite behind.,2023-03-13,True,324,94,0
136,Refrigerator,Electronics,LG,19121.62,4,Perfect! Works exactly as described. Best purchase ever. Forward last fine reality phone especially measure scientist theory property.,2024-01-14,True,166,134,5
137,Microwave,Electronics,Sony,37844.58,1,Poor quality. Waste of money. True program shake water middle toward the kid.,2023-10-06,True,217,77,40
138,Charger,Accessories,Lenovo,14021.76,5,Great quality and fast delivery. Very satisfied. Wide series laugh camera woman can fine defense until figure with from hundred.,2023-12-20,True,145,128,40
139,Screen Protector,Accessories,Samsung,11415.66,5,Amazing product! Exceeded my expectations. Highly recommend! Wrong bit right should night forward six capital small charge fast music already.,2023-01-08,True,484,142,15
140,Smart Bulb,Smart Home,Dell,14827.63,2,Below average quality. Very disappointed. Model of act well result activity method since build chance Mr entire year.,2024-03-16,True,194,117,50
141,Xbox Series X,Gaming,OnePlus,28156.82,5,Superb product. Great customer service too. Election assume behind this then finally glass difference attorney.,2023-03-15,True,379,111,0
142,iPad Pro,Tablets,Asus,46097.54,5,Absolutely fantastic! Couldn't be happier. Operation guy moment financial future mean him alone would decision foreign.,2024-03-15,True,363,119,30
143,ThinkPad X1,Laptops,Lenovo,1532.4,4,Absolutely fantastic! Couldn't be happier. Him because south face drug enough different we.,2024-04-16,True,470,91,25
144,Air Conditioner,Electronics,Apple,12544.17,4,Perfect purchase. Very impressed with the quality. Machine organization whole buy too head language within chair agent do.,2023-03-22,True,158,122,25
145,Pixel 6,Smartphones,Sony,4280.78,4,Perfect purchase. Very impressed with the quality. Employee share per lead bag including compare.,2024-06-06,True,397,97,25
146,MacBook Pro,Laptops,LG,5588.82,3,It's decent. Nothing special but works fine. Task listen compare center history back top image few.,2023-06-06,True,335,99,5
147,OnePlus 9,Smartphones,Asus,37845.07,5,Love it! Best product in this category. Son fight former medical gas future.,2023-11-27,False,80,76,25
148,OnePlus 9,Smartphones,Apple,23711.59,4,Outstanding quality! Will definitely buy again. Before run would by fight movement heart smile.,2023-02-27,True,37,95,20
149,Lenovo Tab,Tablets,Samsung,3316.06,5,Great quality and fast delivery. Very satisfied. Purpose produce follow main fear best way its moment receive series city.,2023-04-03,True,259,122,30
150,OnePlus Pad,Tablets,OnePlus,47734.46,5,Amazing product! Exceeded my expectations. Highly recommend! Their feeling eat base because hot senior senior choice power modern do by.,2024-04-05,False,73,136,15
151,ROG Gaming,Laptops,Asus,25317.68,5,Love it! Best product in this category. Generation your soon of always teach care usually teacher eight.,2023-04-16,True,428,104,25
152,PS5,Gaming,OnePlus,32483.29,1,Below average quality. Very disappointed. Agent idea foot usually quickly account charge small.,2024-03-25,True,312,95,10
153,Vivobook 15,Laptops,Dell,19677.12,5,Absolutely fantastic! Couldn't be happier. Light several study kind establish picture smile those.,2023-02-23,True,331,98,25
154,Washing Machine,Electronics,Apple,28119.18,4,Outstanding quality! Will definitely buy again. White similar authority soon create west city professor current.,2023-06-03,True,298,112,10
155,Vivobook 15,Laptops,Lenovo,6883.11,5,Great quality and fast delivery. Very satisfied. Later beyond rate bit air structure street sell level.,2023-11-14,True,329,103,25
156,Smart Bulb,Smart Home,OnePlus,5125.92,5,Perfect purchase. Very impressed with the quality. Economy board party one feel note series hair collection society whole.,2024-01-06,True,158,122,10
157,Pixel 6,Smartphones,Asus,10004.26,5,Perfect! Works exactly as described. Best purchase ever. Opportunity indicate that world big make everybody help class than full computer look.,2023-03-21,True,403,143,5
158,Earbuds,Accessories,OnePlus,2368.5,4,Absolutely fantastic! Couldn't be happier. House step popular begin range democratic within.,2023-05-15,True,78,92,10
159,Xiaomi 11,Smartphones,Sony,36198.56,1,Stopped working after one week. Student mind minute forward begin sign certainly also now already good hospital glass.,2023-09-01,False,78,118,20
160,Security Camera,Smart Home,LG,26933.55,4,Love it! Best product in this category. Hold trouble each play require consumer reality skin great nor art easy run.,2023-07-18,True,484,116,40
161,Surface Pro,Tablets,Lenovo,25393.88,4,Perfect! Works exactly as described. Best purchase ever. Strategy range address account base statement truth.,2023-07-24,True,70,109,20
162,Air Conditioner,Electronics,HP,27949.77,2,Defective product. Customer service not helpful. Spring anyone set else main lose another establish life exist here area.,2023-05-08,True,390,121,10
163,XPS 13,Laptops,OnePlus,7793.76,4,Excellent value for money. Very happy with this product. Radio spend fear key assume country bank speech trouble.,2024-04-06,False,3,113,30
164,Air Conditioner,Electronics,OnePlus,19011.09,4,Great quality and fast delivery. Very satisfied. Book artist until evening whose director.,2024-01-19,True,163,90,5
165,Smart Lock,Smart Home,Sony,7311.18,3,Reasonable quality. Good enough. Kid quickly fact nor general amount trade.,2023-05-23,True,240,75,40
166,USB Cable,Accessories,Apple,1440.69,3,It's decent. Nothing special but works fine. Short collection recent step guess along usually seek cold determine car.,2024-06-24,True,397,118,20
167,Pixel 6,Smartphones,Apple,2863.6,4,Absolutely fantastic! Couldn't be happier. Off difference station sense identify good person rise my section.,2024-04-13,True,428,109,40
168,Earbuds,Accessories,Samsung,31781.77,4,Perfect! Works exactly as described. Best purchase ever. Want instead fund remember practice issue.,2023-10-26,True,314,99,25
169,Xiaomi 11,Smartphones,Lenovo,9772.04,5,Perfect purchase. Very impressed with the quality. Food but law stay run against usually.,2024-01-05,True,269,89,50
170,Earbuds,Accessories,OnePlus,1506.55,5,Amazing product! Exceeded my expectations. Highly recommend! Nice order Democrat fear information impact increase artist.,2024-02-01,False,32,121,0
171,ThinkPad X1,Laptops,HP,12435.73,5,Great quality and fast delivery. Very satisfied. Model they number yeah age city off everything agent they wall mention hit.,2023-12-07,True,180,124,50
172,MacBook Pro,Laptops,Asus,49050.55,4,Perfect! Works exactly as described. Best purchase ever. Which early first west fact out opportunity accept where blood girl material goal.,2023-05-19,True,397,139,40
173,Washing Machine,Electronics,LG,2668.41,3,It's okay. Does what it's supposed to do. War option edge Mrs everything will.,2023-11-20,False,65,78,30
174,Thermostat,Smart Home,Asus,13039.03,5,Excellent value for money. Very happy with this product. Tree yourself common she international poor debate.,2023-10-20,True,399,108,0
175,Smart Lock,Smart Home,Dell,6661.51,4,Fantastic! Worth every penny. Minute describe almost wear imagine beat notice across away hold.,2024-03-26,False,49,95,25
176,OnePlus 9,Smartphones,Asus,18683.67,5,Outstanding quality! Will definitely buy again. Common there forget between game political traditional Republican operation company example.,2023-03-26,True,40,140,30
177,Phone Case,Accessories,OnePlus,15041.44,2,Stopped working after one week. Course young performance truth until spring land study top especially indicate box policy.,2023-10-30,True,308,122,30
178,OnePlus 9,Smartphones,HP,22632.92,5,Superb product. Great customer service too. Industry Mrs wonder describe some similar dog past once develop small.,2024-03-21,True,405,114,0
179,Air Conditioner,Electronics,HP,25897.76,5,Perfect! Works exactly as described. Best purchase ever. Protect who west run feeling tough fall.,2023-02-01,True,311,97,40
180,Microwave,Electronics,Apple,12181.77,4,Superb product. Great customer service too. Yeah inside provide yes ten positive great hair themselves fall.,2024-01-28,False,4,108,10
181,Mechanical Keyboard,Gaming,HP,18914.66,5,Absolutely fantastic! Couldn't be happier. Agent listen share quality could than manager.,2023-05-21,True,203,89,25
182,Gaming Mouse,Gaming,LG,48045.74,1,Terrible experience. Do not recommend. In size type exactly team short contain section often bit.,2024-05-26,True,467,97,50
